ancestry,taxon_id,count
48460/47170/47169/492000/50814/48341/55502,55503,127
48460/47170/47169/492000/50814/1094814/987183/353351/55566,55565,2790
48460/47170/47169/492000/50814/50815/50816/55569,55568,3046
48460/47170/47169/492000/50814/1094814/47167/785517/416523/55575,55573,3653
48460/47170/47169/492000/50814/1094814/47167/785517/48768/53283,55583,1301
48460/47170/47169/492000/50814/1094814/47167/785517/56310/48522/1180062,55605,5279
48460/47170/47169/492000/50814/48341/55878/55879,55877,159
48460/47170/47169/492000/50814/1094814/47167/785517/351075/54895,55899,4087
48460/47170/47169/492000/50814/1094814/47167/785516/55920,55922,169
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,55923,185
48460/47170/47169/492000/50814/1094814/48427/474345/55928/55929,55927,5149
48460/47170/47169/492000/50814/1094814/48427/55942/55943,55941,2996
48460/47170/47169/492000/50814/1094814/47167/785516/55931/55930,55950,7095
48460/47170/47169/492000/50814/1094814/47167/785516/55931/55965/373969,55964,1862
48460/47170/47169/492000/50814/47380/55974/55975,55973,3021
48460/47170/47169/492000/50814/1094814/47167/785516/56253/1101286,56251,1970
48460/47170/47169/492000/50814/1094814/47167/785517/56310/56311/1180101,56309,558
48460/47170/47169/492000/50814/1094814/47167/785517/516951/47393,56313,210
48460/47170/47169/492000/50814/1094814/47167/785517/56310/56315/1179708,56314,6908
48460/47170/47169/492000/50814/1094814/47167/785517/56310/56315/1179721,56316,878
48460/47170/47169/492000/50814/1094814/47167/785517/56310/56315/947427,56318,9440
48460/47170/47169/492000/50814/891028/48708/51136/51137,56534,3603
48460/47170/47169/492000/50814/1094814/47167/785517/47394/56536,56535,1515
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781,57691,1156
48460/47170/47169/492000/50814/1094814/47167/785517/48445/57693,57692,4476
48460/47170/47169/492000/50814/1094814/47167/785517/47394/57884,57883,1234
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/1151842/1152347,58674,153
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/1151842/1152350,58676,526
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/1151842/1152356,58677,269
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/926048,58685,274
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781,58692,769
48460/47170/47169/492000/50814/1094814/47167/785517/47394/56536,58693,1827
48460/47170/47169/492000/50814/1094814/47167/785517/1181093/58695,58694,1042
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824804/824808,58696,571
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824802/847564,58699,488
48460/47170/47169/492000/50814/47380/974750/59250,59249,1180
48460/47170/47169/492000/50814/1094814/47167/785522/48420/60783/1366821,60782,4551
48460/47170/47169/492000/50814/1094814/47167/785517/1181092/60903,60902,118
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1377700/1139222,62483,159
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/1142605,62485,232
48460/47170/47169/492000/50814/48341/48340/48339/1167952,62725,594
48460/47170/47169/492000/50814/47380/63019/63020,63014,1000
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906594,63027,2287
48460/47170/47169/492000/50814/891028/55013/55014/63077/1085910,63076,1461
48460/47170/47169/492000/50814/1094814/47167/785516/49545/54067,63100,1270
48460/47170/47169/492000/50814/1094814/47167/785517/56310/48522/1180067,63224,2757
48460/47170/47169/492000/50814/1094814/48427/48702/1199038/54203,63232,4055
48460/47170/47169/492000/50814/1094814/47167/785517/351075/54895,63236,3428
48460/47170/47169/492000/50814/1094814/47167/785517/351075/54895,63238,269
48460/47170/47169/492000/50814/1094814/47167/787526/1155395/1128513/54625,63255,3667
48460/47170/47169/492000/50814/47350/63265/63266,63260,1872
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781/1144777,63271,2884
48460/47170/47169/492000/50814/47380/47379/48475/1106981,63274,4807
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135479/1135487/1101274,63282,863
48460/47170/47169/492000/50814/1094814/47167/905657/1128529/63392,63387,2245
48460/47170/47169/492000/50814/1094814/47167/785517/47394/63402,63401,5986
48460/47170/47169/492000/53277/53278/53279/63408,63405,4507
48460/47170/47169/492000/50814/1094814/47167/785516/56253/1101286,63419,209
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63422,999
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63426,1126
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63433,314
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63434,454
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63436,112
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63446,1571
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63453,592
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63460,4088
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63466,223
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63468,185
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63470,733
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,63472,387
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922/1101287/1370907,63473,1808
48460/47170/47169/492000/50814/1094814/48427/48702/63482,63488,380
48460/47170/47169/492000/50814/1094814/48427/48702/63482,63489,1809
48460/47170/47169/492000/50814/1094814/48427/53489/53490,63496,526
48460/47170/47169/492000/50814/1094814/48427/53489/53490,63497,125
48460/47170/47169/492000/50814/1094814/48427/53489/53490,63505,2128
48460/47170/47169/492000/50814/1094814/48427/63542/63543,63538,4337
48460/47170/47169/492000/50814/891028/55013/55014/63077/1085861/1085863,63557,1492
48460/47170/47169/492000/50814/891028/48708/51136/63582,63580,352
48460/47170/47169/492000/50814/1094814/47167/785517/56310/56311/1180101,63583,1786
48460/47170/47169/492000/50814/1094814/47167/905657/1128531/63586,63585,6267
48460/47170/47169/492000/50814/1094814/48427/63838/63839,63833,443
48460/47170/47169/492000/50814/1094814/47167/785516/64013/64014,64021,498
48460/47170/47169/492000/50814/1094814/47167/785517/48768/48769,64071,1936
48460/47170/47169/492000/50814/1094814/47167/785517/48768/64076/1145086/1147111,64075,291
48460/47170/47169/492000/50814/1094814/47167/785522/48420/60783,64087,513
48460/47170/47169/492000/50814/1094814/48427/48426/48425,64097,769
48460/47170/47169/492000/50814/1094814/47167/787526/47166/64709,64708,869
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135223/1135224/63108/1135951/1135953/1135956,67331,966
48460/47170/47169/492000/50814/67339/67340/67341,67338,4111
48460/47170/47169/492000/50814/1094814/47167/787526/47166/47165,67342,104
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135219/1135221/67344,67343,455
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1366846,67345,692
48460/47170/47169/492000/50814/1094814/47167/787526/47498/67347,67346,1184
48460/47170/47169/492000/50814/1094814/47167/787526/47498/67347,67351,688
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824805/824822,67354,724
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906594,67355,447
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/926048,67356,882
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906594,67357,827
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906594,67385,124
48460/47170/47169/492000/50814/1094814/47167/787526/47166/47165/1369052,67394,530
48460/47170/47169/492000/50814/1094814/47167/787526/47166/47165,67400,117
48460/47170/47169/492000/50814/1094814/47167/785516/55931/67595,67594,8739
48460/47170/47169/492000/50814/1094814/47167/785516/55931,67595,613
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781,67661,6089
48460/47170/47169/492000/50814/1094814/47167/785516/64013/64014,67752,5692
48460/47170/47169/492000/50814/1094814/48427/474345/55928/68157,68153,2050
48460/47170/47169/492000/50814/1094814/47167/785516/55920/68308,68309,6718
48460/47170/47169/492000/50814/1094814/47167/785517/48445/57693,69818,427
48460/47170/47169/416490/69967/69968/1151228/69969/69970,69966,161
48460/47170/47169/492000/50814/1094814/47167/787526/47166/47165,70222,3057
48460/47170/47169/492000/50814/1094814/47167/787526/47166/47165,70225,1043
48460/47170/47169/492000/50814/47350/63265/63266,81961,1270
48460/47170/47169/492000/50814/1094814/47167/785517/416512/83198/1155105,83196,5141
48460/47170/47169/492000/50814/48341/84225/84226,84224,2899
48460/47170/47169/492000/50814/891028/48708/51136/63582,84271,3133
48460/47170/47169/416490/69967/69968/1151342/84768/84769,84767,234
48460/47170/47169/492000/50814/1094814/47167/785517/47394/85399,85398,4853
48460/47170/47169/492000/50814/891028/48708/51136/63582,116662,828
48460/47170/47169/492000/50814/47380/47379/47378,116695,4049
48460/47170/47169/492000/50814/1094814/47167/785517/55472/117228,117227,2137
48460/47170/47169/492000/50814/1094814/47167/785517/47394/56536,117308,9857
48460/47170/47169/492000/53277/53278/53279/63408,118027,3175
48460/47170/47169/492000/53277/53278/53279/53280,118028,4937
48460/47170/47169/492000/53277/53278/53279/118033,118032,1684
48460/47170/47169/492000/50814/57519/1255706/118040,118034,1103
48460/47170/47169/492000/50814/57519/1255706/118040,118035,767
48460/47170/47169/492000/50814/1094814/47167/785516/118042/118043,118036,2860
48460/47170/47169/492000/50814/47380/118075/118047,118038,3865
48460/47170/47169/492000/50814/47380/559351/118049,118041,2440
48460/47170/47169/492000/50814/47380/47379/118055,118051,5130
48460/47170/47169/492000/50814/47380/895657/48431,118057,1822
48460/47170/47169/492000/50814/47380/974748/118061,118058,479
48460/47170/47169/492000/50814/52526/52527/52528,118060,399
48460/47170/47169/492000/50814/47380/47379/48475/1106981,118062,2190
48460/47170/47169/492000/50814/47380/964622/118077,118073,937
48460/47170/47169/492000/50814/57519/57518/118086,118081,1316
48460/47170/47169/492000/50814/47380/895657/118088,118084,9440
48460/47170/47169/492000/50814/47380/974717/118097,118096,612
48460/47170/47169/492000/50814/52526/118108/118110,118100,294
48460/47170/47169/492000/50814/52526/118108/118110,118102,1068
48460/47170/47169/492000/50814/48341/55502/55503,118104,250
48460/47170/47169/492000/50814/48341/55502/55503,118105,240
48460/47170/47169/492000/50814/48341/55502/55503,118107,574
48460/47170/47169/492000/50814/47380/47379/47378/1153556,118111,1842
48460/47170/47169/492000/50814/57519/57518/118119,118115,2547
48460/47170/47169/492000/50814/1094814/47167/905657/1128529/54715,118122,418
48460/47170/47169/492000/50814/1094814/47167/785517/121439/68301,118131,944
48460/47170/47169/492000/50814/1094814/47167/785517/48445/81948/1296852,118132,174
48460/47170/47169/492000/50814/1094814/47167/785517/121439/118140,118138,1061
48460/47170/47169/492000/50814/1094814/47167/785517/48445/48444,118139,540
48460/47170/47169/492000/50814/1094814/47167/785517/48445/48444,118145,628
48460/47170/47169/492000/50814/1094814/48427/474345/55928/55929,118146,1183
48460/47170/47169/492000/50814/1094814/48427/474345/55928/55929,118147,667
48460/47170/47169/492000/50814/1094814/48427/48702/48703,118150,350
48460/47170/47169/492000/50814/1094814/48427/48702/702670/205872,118155,423
48460/47170/47169/492000/50814/1094814/48427/53489/53490,118157,714
48460/47170/47169/492000/50814/1094814/48427/53489/53490,118158,2095
48460/47170/47169/492000/50814/1094814/48427/53489/53490,118159,1008
48460/47170/47169/492000/50814/1094814/48427/53489/53490,118161,165
48460/47170/47169/492000/50814/1094814/48427/53489/53490,118162,437
48460/47170/47169/492000/50814/1094814/47167/785516/64013/118165,118166,1353
48460/47170/47169/492000/50814/1094814/47167/785516/64013/118165,118168,539
48460/47170/47169/492000/50814/57519/541370/118174,118170,1631
48460/47170/47169/492000/50814/57519/541370/118174,118171,172
48460/47170/47169/492000/50814/1094814/47167/787526/118176,118173,225
48460/47170/47169/492000/50814/48341/48340/48339/1167951,118179,2175
48460/47170/47169/492000/50814/48341/48340/48339/1167952,118182,120
48460/47170/47169/492000/50814/48341/48340/48339/1167950,118187,597
48460/47170/47169/492000/50814/48341/48340/48339/1167952,118191,172
48460/47170/47169/492000/50814/1094814/47167/785516/55931/133083,118192,1020
48460/47170/47169/492000/50814/1094814/47167/785517/48768/53283,118196,326
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1366846,118198,256
48460/47170/47169/492000/50814/1094814/48427/118204/118205,118202,852
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1377701,118207,140
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1366846,118211,154
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1377699/1366845,118213,497
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1377701,118215,616
48460/47170/47169/492000/50814/1094814/47167/785516/56253/1239850,118219,367
48460/47170/47169/492000/50814/48341/48340/54597/1046273,118220,162
48460/47170/47169/492000/50814/48341/48340/54597/1046273,118223,872
48460/47170/47169/492000/50814/48341/48340/54597/1046273,118224,1495
48460/47170/47169/492000/50814/48341/48340/54597,118226,620
48460/47170/47169/492000/50814/48341/55176/118238,118231,1257
48460/47170/47169/492000/50814/1094814/47167/785517/1181093/58695,118237,128
48460/47170/47169/492000/50814/1094814/47167/785517/1181093/58695,118239,216
48460/47170/47169/492000/50814/1094814/47167/785516/49545/54067,118240,2770
48460/47170/47169/492000/50814/1094814/47167/785516/49545/54067,118241,382
48460/47170/47169/492000/50814/1094814/47167/785516/64013/374622,118242,2371
48460/47170/47169/492000/50814/1094814/47167/787526/118247/118248,118243,592
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135219/1135220/118252/1135338,118245,2406
48460/47170/47169/492000/50814/1094814/47167/785516/55920/55922,118253,276
48460/47170/47169/492000/50814/1094814/47167/785517/416523/118264,118261,240
48460/47170/47169/492000/50814/1094814/47167/785517/1180803/118262,118263,1535
48460/47170/47169/492000/50814/1094814/47167/785517/48768/64076,118265,266
48460/47170/47169/492000/50814/1094814/47167/785517/48768/64076,118266,436
48460/47170/47169/492000/50814/1094814/47167/785522/48420/60783/1366821,118268,330
48460/47170/47169/492000/50814/1094814/47167/785517/56310/67745,118272,1169
48460/47170/47169/492000/50814/1094814/47167/785517/56310/67745/1179771,118273,907
48460/47170/47169/492000/50814/1094814/47167/785517/56310/67745,118274,279
48460/47170/47169/492000/50814/1094814/47167/785522/48420/60783,118277,165
48460/47170/47169/492000/50814/1094814/47167/785522/48420/60783/1366821,118281,131
48460/47170/47169/492000/50814/1094814/47167/785517/416506/118288,118283,1592
48460/47170/47169/492000/50814/1094814/47167/785517/923956/118300,118296,598
48460/47170/47169/492000/50814/1094814/47167/785517/416512/83198,118302,710
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871,118311,112
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135223/1135224/63108/1371270,118313,171
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135480/1101271/1135481/1369384,118316,1525
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135223/1135224/63108/1135949/1135960/1135970,118324,340
48460/47170/47169/492000/50814/1094814/47167/785517/55574/58679/1366601,118336,573
48460/47170/47169/492000/50814/1094814/47167/785517/351075/54895,118348,251
48460/47170/47169/492000/50814/1094814/47167/785516/118042/118350,118349,685
48460/47170/47169/492000/50814/1094814/47167/787526/1128007/118357,118354,292
48460/47170/47169/492000/50814/1094814/48427/48426/48640,118358,173
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135228/118364/1135311,118359,356
48460/47170/47169/492000/50814/1094814/47167/785516/118366,118361,1592
48460/47170/47169/492000/50814/1094814/47167/787526/1155395/1128513/54625,118370,619
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824804/793870,118379,816
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824804/824814,118386,417
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824803/824806,118387,114
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906595,118389,111
48460/47170/47169/492000/50814/1094814/47167/785517/416512/118395,118391,2597
48460/47170/47169/492000/50814/1094814/47167/785517/416512/118395,118393,2096
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824804/793870,118394,3844
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781/1144777,118400,583
48460/47170/47169/492000/50814/1094814/47167/785516/55931/55930,118401,1278
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135219/1135221/67344,118402,275
48460/47170/47169/492000/50814/48341/48340/48339/1167952,118495,141
48460/47170/47169/492000/50814/1094814/47167/785517/48768/53283,119151,1942
48460/47170/47169/492000/50814/1094814/47167/785517/1181092/119970,119969,1410
48460/47170/47169/492000/50814/1094814/47167/785517/47394/119985,119984,2143
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781/119999,119998,345
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781,119999,311
48460/47170/47169/492000/50814/1094814/47167/785517/121439/120031,120030,4116
48460/47170/47169/492000/50814/1094814/47167/785517/121439/118140,120036,507
48460/47170/47169/492000/50814/1094814/47167/785517/121439/68301,120037,1062
48460/47170/47169/492000/50814/1094814/47167/785517/121439/120039,120038,163
48460/47170/47169/492000/50814/47380/895657/48431/120154,120153,123
48460/47170/47169/492000/50814/47380/895657/48431,120154,4501
48460/47170/47169/492000/50814/891028/48708/51136/51137,120175,879
48460/47170/47169/492000/50814/1094814/47167/785517/121439/68301,120242,4472
48460/47170/47169/492000/50814/1094814/48427/53489/53490,120438,142
48460/47170/47169/492000/50814/47350/47349/47348/1374657,120443,1725
48460/47170/47169/492000/50814/47350/47349/47348/1374657,120444,758
48460/47170/47169/492000/50814/1094814/47167/787526/118247/120863,120862,945
48460/47170/47169/492000/50814/48341/48340/54597/1174534,120871,254
48460/47170/47169/492000/50814/48341/48340/54597/1174534/1303228,120951,5454
48460/47170/47169/492000/50814/1094814/47167/785517/416523/55575,120971,191
48460/47170/47169/492000/50814/1094814/47167/785517/48768/53282,121217,8432
48460/47170/47169/416490/69967/69968/1151342/1151238/121688,121687,5450
48460/47170/47169/416490/69967/69968/1151342/1151238,121688,130
48460/47170/47169/492000/50814/1094814/47167/785517/48445/48444,121715,181
48460/47170/47169/492000/50814/1094814/47167/785517/55472/117228,121765,168
48460/47170/47169/492000/50814/48341/48340/48339/1167952,122333,351
48460/47170/47169/492000/50814/52526/52527/122336,122334,337
48460/47170/47169/492000/50814/52526/52527/122336,122335,939
48460/47170/47169/492000/50814/1094814/48427/48702/1199038/54203,122466,139
48460/47170/47169/416490/69967/69968/1151342/84768/84769,123045,649
48460/47170/47169/492000/50814/1094814/47167/1128526/49461/53886,123127,273
48460/47170/47169/492000/50814/1094814/47167/785516/64013/123352,123351,108
48460/47170/47169/492000/50814/1094814/47167/1128526/49461/55244,123789,795
48460/47170/47169/492000/50814/48341/54167/54168,123891,236
48460/47170/47169/492000/50814/1094814/47167/905658/54574/123895,123897,3181
48460/47170/47169/492000/50814/891028/48708/51136/54593,123982,110
48460/47170/47169/492000/50814/1094814/48427/48702/1199038/54203,124085,1191
48460/47170/47169/492000/50814/47380/47379/124103,124102,6676
48460/47170/47169/492000/50814/48341/49159/49160,124335,2253
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/1150593,124344,2394
48460/47170/47169/492000/50814/1094814/47167/785517/1180803/118262,124539,309
48460/47170/47169/492000/50814/1094814/47167/785517/48768/64076/1145086/1145088,124705,2268
48460/47170/47169/492000/50814/57519/57518/118087,125136,1518
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/123890,125353,1211
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/1151889,125363,396
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/375149,125364,1287
48460/47170/47169/492000/50814/47350/63265/63266,125366,303
48460/47170/47169/492000/50814/1094814/48427/48702/48703,125367,1114
48460/47170/47169/492000/50814/1094814/47167/787526/118247/125377,125378,788
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/932781,125389,4417
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/926048,125390,2333
48460/47170/47169/492000/50814/1094814/47167/785517/48768/64076/1145086/1145088,125654,114
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135229/125768,125684,570
48460/47170/47169/492000/50814/1094814/48427/474345/125691/125692,125688,1052
48460/47170/47169/492000/50814/48341/48340/54597/1046273,125689,147
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1377700,125704,414
48460/47170/47169/492000/50814/57519/57518/118119,125705,10475
48460/47170/47169/492000/50814/1094814/48427/48702,125713,130
48460/47170/47169/492000/50814/1094814/48427/53489/53490,125715,202
48460/47170/47169/492000/50814/1094814/48427/53489/53490,125716,2322
48460/47170/47169/492000/50814/1094814/47167/787526/47498/62484/1377701,125718,172
48460/47170/47169/492000/50814/48341/48340/48339/1167952,125720,455
48460/47170/47169/492000/50814/1094814/48427/48702/125751,125724,505
48460/47170/47169/492000/50814/47380/53715/125757,125738,3166
48460/47170/47169/492000/50814/891028/48708/51136/54593,125743,4119
48460/47170/47169/492000/50814/48341/48340/48339/1167949,125750,304
