ancestry,taxon_id,count
48460/47170/47169/492000/50814/47350/47349/47348/1374657,47347,2859
48460/47170/47169/492000/50814/47380/47379,47378,128
48460/47170/47169/492000/50814/1094814/47167/785517/516951/47393,47392,26542
48460/47170/47169/492000/50814/48341/48340,48339,1124
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/954920,48418,2834
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497,48419,162
48460/47170/47169/492000/50814/47350/48423/48422/969901/969904/969909,48421,188
48460/47170/47169/492000/50814/1094814/48427/48426/48425,48424,949
48460/47170/47169/492000/50814/1094814/48427/48426/48425,48428,1016
48460/47170/47169/492000/50814/1094814/47167/785517/48445/48444,48443,7712
48460/47170/47169/492000/50814/47380/47379/48475/559675/1129535,48473,8432
48460/47170/47169/492000/50814/47380/47379,48475,177
48460/47170/47169/492000/50814/1094814/47167/905657/48495/48496/1196165,48494,10063
48460/47170/47169/492000/50814/1094814/47167/905657/1128529/48510,48509,1086
48460/47170/47169/492000/50814/1094814/47167/785517/56310/48522/1180054,48521,3112
48460/47170/47169/492000/83737/48530/48531/48532,48529,9381
48460/47170/47169/492000/50814/47350/47349/48611,48607,985
48460/47170/47169/492000/50814/1094814/48427/48426/48640,48639,364
48460/47170/47169/492000/50814/47350/48423/48422/969899/969903,48641,995
48460/47170/47169/492000/50814/1094814/48427/48702/48703,48701,7520
48460/47170/47169/492000/50814/1094814/47167/785517/48705,48704,127
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/954920,48715,37534
48460/47170/47169/492000/50814/1094814/47167/785517/48768/48769,48767,10766
48460/47170/47169/492000/50814/891028/55154/48710/48707,48770,779
48460/47170/47169/492000/50814/48341/49159/49160,49158,5721
48460/47170/47169/492000/50814/48341/49159/49160,49162,5237
48460/47170/47169/492000/50814/1094814/47167/787526/1181402/49546,49544,351
48460/47170/47169/492000/50814/1094814/47167/785517/47394/49548/824802/847564,49547,1789
48460/47170/47169/492000/50814/1094814/47167/785517/47394,49548,158
48460/47170/47169/492000/50814/50815/50816/50817/1138427,50813,6551
48460/47170/47169/492000/50814/50815/50816,50817,205
48460/47170/47169/492000/50814/891028/48708/51136/51137,51135,2837
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906594,51314,2712
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135479/1135487/1135488,51869,434
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135480/1101271/1135481/1369384,51872,3499
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/926048,52135,4926
48460/47170/47169/492000/50814/1094814/47167/787526/47166/47165,52400,287
48460/47170/47169/492000/50814/52526/52527/52528,52525,414
48460/47170/47169/492000/50814/1094814/47167/905657/1128529/52530,52529,5766
48460/47170/47169/492000/53277/53278/53279/53280,53276,1094
48460/47170/47169/492000/50814/1094814/47167/785517/48768/53282,53281,1368
48460/47170/47169/492000/50814/1094814/47167/785517/48768/53283,53284,4773
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135480/1135484/1134097,53474,287
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135480/1135484/1134097,53475,1684
48460/47170/47169/492000/50814/1094814/48427/53489/53490,53488,2322
48460/47170/47169/492000/50814/47380/895657/48431,53713,18046
48460/47170/47169/492000/50814/47380/1159235/53716,53714,4837
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906595,53884,1891
48460/47170/47169/492000/50814/1094814/47167/1128526/49461/53886,53885,2582
48460/47170/47169/492000/50814/1094814/47167/785517/416512/54026,54025,446
48460/47170/47169/492000/50814/891028/55154/48710/51131,54121,799
48460/47170/47169/492000/50814/47350/47349/47348/1374657,54132,578
48460/47170/47169/492000/50814/47380/47379/47378/1153556,54134,38107
48460/47170/47169/492000/50814/50815/54165,54164,6782
48460/47170/47169/492000/50814/1094814/48427/48702/1199038/54203,54204,279
48460/47170/47169/492000/50814/1094814/48427/48426/48640,54208,870
48460/47170/47169/492000/50814/891028/55154/48710/48707,54228,2014
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142598/1142605,54359,548
48460/47170/47169/492000/50814/1094814/47167/905658/54574/54575,54573,29753
48460/47170/47169/492000/50814/891028/48708/51136/51137,54590,2264
48460/47170/47169/492000/50814/891028/48708/51136/54593,54591,938
48460/47170/47169/492000/50814/891028/48708/51136,54593,158
48460/47170/47169/492000/50814/891028/48708/51136/54593,54594,3576
48460/47170/47169/492000/50814/48341/48340/54597/1174534,54599,3213
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/374949,54631,263
48460/47170/47169/492000/50814/1094814/47167/905657/1128529/54715,54717,674
48460/47170/47169/492000/50814/1094814/47167/785517/351075/54895,54893,3512
48460/47170/47169/492000/50814/891028/55013/55014/55015,55012,667
48460/47170/47169/492000/50814/1094814/47167/785517/48705/48704/123890,55030,213
48460/47170/47169/492000/50814/891028/55154/55155/55153,55156,171
48460/47170/47169/492000/50814/891028/55154/55155/55153,55159,243
48460/47170/47169/492000/50814/891028/55154/55155/55153,55160,446
48460/47170/47169/492000/50814/891028/55154/55155/55153,55162,128
48460/47170/47169/492000/50814/48341/55176/55177,55175,2555
48460/47170/47169/492000/50814/48341/49159/49160,55187,365
48460/47170/47169/492000/50814/1110081/373310/55236,55235,289
48460/47170/47169/492000/50814/1094814/47167/1128302/51870/1135226/1135227/51871/1135479/1135487/1135488,55245,1548
48460/47170/47169/492000/50814/1094814/48427/48775/48774,55271,1088
48460/47170/47169/492000/50814/1094814/47167/1128526/49461/55244,55272,2223
48460/47170/47169/492000/50814/1094814/47167/1128526/49461/55244,55273,663
48460/47170/47169/492000/50814/1094814/47167/1128526/49461/55275,55274,985
48460/47170/47169/492000/50814/48341/48340/54597/1046273,55276,1641
48460/47170/47169/492000/50814/1094814/47167/785516/49545/54067,55291,1811
48460/47170/47169/492000/50814/1094814/47167/785517/55472/55473,55474,7836
48460/47170/47169/492000/50814/1094814/47167/785522/118249/1149497/48419/1142599/906594,55482,1612
48460/47170/47169/492000/50814/48341/55502/55503,55496,7128
48460/47170/47169/492000/50814/48341/55502/55503,55501,9923
